"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Precipitation","Wind","Relative Humidity","Solar"
"1/1/1979","79.6875","19.2021007537842","150","28.962","15.25","0","1.3348810969703","0.455489404975389","8.25980058",
"1/2/1979","79.6875","19.2021007537842","150","30.982","15.896","0","2.04906331694582","0.433240806916296","17.6499585",
"1/3/1979","79.6875","19.2021007537842","150","31.113","14.319","0","1.63646670778341","0.53411728137751","17.410896468",
"1/4/1979","79.6875","19.2021007537842","150","32.574","15.723","0","1.86983567760019","0.529676815218713","15.33954663",
"1/5/1979","79.6875","19.2021007537842","150","30.798","18.881","0","1.11285270240266","0.508051793088838","9.73811286",
"1/6/1979","79.6875","19.2021007537842","150","31.862","13.52","0","1.43086842304264","0.480765247977767","16.119114552",
"1/7/1979","79.6875","19.2021007537842","150","31.334","11.177","0","1.50665971986194","0.437632066970243","18.01153098",
"1/8/1979","79.6875","19.2021007537842","150","30.15","10.833","0","1.55620782368245","0.416514690839111","18.018794232",
"1/9/1979","79.6875","19.2021007537842","150","30.488","11.222","0","1.76584197679236","0.385720138400388","18.0722907",
"1/10/1979","79.6875","19.2021007537842","150","31.287","13.17","0","1.6174081205616","0.4443216693914","18.293289768",
"1/11/1979","79.6875","19.2021007537842","150","30.45","15.168","0","1.81372671372715","0.460380175035996","18.4653576",
"1/12/1979","79.6875","19.2021007537842","150","29.926","14.495","0","1.8858904176955","0.459164826166601","18.477228816",
"1/13/1979","79.6875","19.2021007537842","150","31.985","12.696","0","1.66637235229323","0.443703753094013","18.466703532",
"1/14/1979","79.6875","19.2021007537842","150","31.415","13.223","0","1.65265048661082","0.452388507676939","18.492637932",
"1/15/1979","79.6875","19.2021007537842","150","31.387","14.305","0","2.262703612672","0.462369478915229","18.4546143",
"1/16/1979","79.6875","19.2021007537842","150","31.439","15.805","0","1.79606281509616","0.598058586477826","17.44362495",
"1/17/1979","79.6875","19.2021007537842","150","31.898","18.848","0","2.09649189667969","0.472436030697291","17.701425144",
"1/18/1979","79.6875","19.2021007537842","150","31.187","19.976","0.051498396","1.95013700262584","0.452675580404353","16.2563085",
"1/19/1979","79.6875","19.2021007537842","150","31.921","17.046","0.5475996144","2.09625716732395","0.596763439117037","15.942816",
"1/20/1979","79.6875","19.2021007537842","150","29.458","18.181","8.52899526","2.12237478833618","0.732172095187307","17.68617837",
"1/21/1979","79.6875","19.2021007537842","150","31.344","17.563","0.492668496","1.9552074722634","0.694908719910253","15.758212968",
"1/22/1979","79.6875","19.2021007537842","150","32.194","17.331","0","1.70734914849219","0.633544725044972","18.0076545",
"1/23/1979","79.6875","19.2021007537842","150","33.073","15.332","0","1.25577419039885","0.555104664703957","18.697167396",
"1/24/1979","79.6875","19.2021007537842","150","32.54","17.797","0","1.89845934346619","0.548130494704251","18.566214012",
"1/25/1979","79.6875","19.2021007537842","150","31.439","7.65899999999999","0","1.31887017600366","0.647900589855313","13.57796232",
"1/26/1979","79.6875","19.2021007537842","150","33.167","7.77600000000001","0","1.19331106311488","0.680265744994294","17.81330688",
"1/27/1979","79.6875","19.2021007537842","150","32.705","19.601","0","1.88002096919291","0.473241358443844","17.813300706",
"1/28/1979","79.6875","19.2021007537842","150","33.154","19.048","0","2.57494966637706","0.42489534576558","18.957537252",
"1/29/1979","79.6875","19.2021007537842","150","30.056","22.173","0","2.65825825972043","0.490057917090464","9.202555458",
"1/30/1979","79.6875","19.2021007537842","150","28.981","21.193","0.0137329056","2.06327159081571","0.574261491154221","6.05334276",
"1/31/1979","79.6875","19.2021007537842","150","33.628","21.669","0","2.12481376176752","0.48918393889257","16.7738085",
"2/1/1979","79.6875","19.2021007537842","150","30.9","21.052","0","3.51891005742645","0.513648957274179","6.82037631",
"2/2/1979","79.6875","19.2021007537842","150","30.802","17.02","0","2.75706099663445","0.398368533892226","19.768275432",
"2/3/1979","79.6875","19.2021007537842","150","30.544","14.528","0","2.94530783085088","0.39241777205228","20.296575288",
